step,price,balance,shares_held,portfolio,action,reward
193,185.1266632080078,19760.0,1411.5565823467455,281076.7600191525,0,0.059466570586391744
194,191.3333282470703,19760.0,1411.5565823467455,289837.8189094626,0,0.03116963099230655
195,195.2533264160156,19760.0,1411.5565823467455,295371.1181276245,0,0.019091018691009185
196,189.1999969482422,19760.0,1411.5565823467455,286826.5010722754,0,-0.02892841083960385
197,194.9199981689453,19760.0,1411.5565823467455,294900.60644639033,0,0.02814978861412939
198,189.60667419433597,19760.0,1411.5565823467455,287400.54901588976,0,-0.025432492394226305
199,197.7933349609375,19760.0,1411.5565823467455,298956.48390842596,0,0.04020846491805851
200,199.67999267578125,19760.0,1411.5565823467455,301619.608024449,0,0.008908066087767983
201,213.9199981689453,19760.0,1411.5565823467455,321720.1815109785,0,0.0666421311869755
202,216.6266632080078,19760.0,1411.5565823467455,325540.79236307496,0,0.011875570982686627
203,201.4933319091797,19760.0,1411.5565823467455,304179.2389553801,0,-0.0656186687162397
204,209.02333068847656,19760.0,1411.5565823467455,314808.25829735957,0,0.03494327679456979
205,203.3300018310547,19760.0,1411.5565823467455,306771.80247320107,0,-0.025528097222174695
206,213.27667236328125,19760.0,1411.5565823467455,320812.09073539986,0,0.04576785789634391
207,211.0833282470703,19760.0,1411.5565823467455,317716.0614108108,0,-0.009650600504151837
208,207.58999633789065,19760.0,1411.5565823467455,312785.0257600863,0,-0.015520259280655571
209,218.63333129882807,19760.0,1411.5565823467455,328373.3179152575,0,0.04983707937197643
210,231.6666717529297,19760.0,1411.5565823467455,346770.6154232107,1,0.05102555537932269
211,216.6199951171875,19760.0,1411.5565823467455,325531.3799755859,0,-0.06124865978538483
212,213.44667053222656,19760.0,1411.5565823467455,321052.05276976153,0,-0.013760047360596389
213,215.32666015625,19760.0,1411.5565823467455,323705.7644982954,0,0.00826567438407539
214,220.58999633789065,19760.0,1411.5565823467455,331135.261330594,0,0.022951388721215497
215,221.22999572753903,19760.0,1411.5565823467455,332038.6566817501,0,0.002728176236882689
216,221.9966735839844,19760.0,1411.5565823467455,333120.86585655506,0,0.0032592866915560257
217,231.5933380126953,19760.0,1411.5565823467455,346667.1006994748,0,0.04066462425909051
218,235.22332763671875,19760.0,1411.5565823467455,351791.0364471155,0,0.01478056538189527
219,243.2566680908203,19760.0,1411.5565823467455,363130.55104333494,0,0.0322336655042207
220,245.0366668701172,19760.0,1411.5565823467455,365643.1200368206,0,0.006919189217945475
221,251.9933319091797,19760.0,1411.5565823467455,375462.84636389074,0,0.026856040190449283
222,272.0133361816406,19760.0,1411.5565823467455,403722.21517329296,0,0.07526541995586364
223,293.3399963378906,19760.0,1411.5565823467455,433826.0026963197,0,0.07456559582708369
224,270.39666748046875,19760.0,1411.5565823467455,401440.1958266798,0,-0.07465160379588875
225,283.14666748046875,19760.0,1411.5565823467455,419437.5422516008,0,0.044831949097322694
226,284.8033447265625,19760.0,1411.5565823467455,421776.03592314856,1,0.0005753084451963052
227,281.6666564941406,19760.0,1411.5565823467455,417348.42300190387,0,-0.01049754501000488
228,275.3866577148437,19760.0,1411.5565823467455,408483.8493878578,0,-0.021240223097729626
229,281.51666259765625,19760.0,1411.5565823467455,417136.6981300095,0,0.021182841757681828
230,283.4833374023437,19760.0,1411.5565823467455,419912.7708959016,0,0.006655067219779478
231,281.663330078125,19760.0,1411.5565823467455,417343.7275774814,1,-0.011118040451446654
232,282.2133178710937,19760.0,1411.5565823467455,418120.06646685675,1,-0.0031398093751601984
233,293.6000061035156,19760.0,1411.5565823467455,434193.0211924621,0,0.038441002990894244
234,294.36334228515625,19760.0,1411.5565823467455,435270.5134042004,1,-0.0025184027399172866
235,288.0533447265625,19760.0,1411.5565823467455,426363.59481577546,1,-0.02546294962359135
236,278.4766540527344,19760.0,1411.5565823467455,412845.55405803473,1,-0.036705429173852465
237,264.510009765625,19760.0,1411.5565823467455,393130.8453812699,1,-0.05275322994999109
238,279.9366760253906,19760.0,1411.5565823467455,414906.4576839085,1,0.0503902410825077
239,290.92999267578125,19760.0,1411.5565823467455,430424.1461635895,1,0.03240045061314255
240,284.89666748046875,19760.0,1411.5565823467455,421907.76627070765,1,-0.024786017975034883
241,283.3299865722656,19760.0,1411.5565823467455,419696.30752229656,0,-0.0052415691893003885
242,284.07666015625,19760.0,1411.5565823467455,420750.27953463414,1,-0.002488726983185114
243,287.8066711425781,19760.0,1411.5565823467455,426015.40109461127,1,0.007513649582836966
244,283.1533203125,19760.0,1411.5565823467455,419446.9331004458,1,-0.02041838153571054
245,268.2733459472656,19760.0,1411.5565823467455,398443.0073400484,1,-0.05507528748664731
246,270.5533447265625,19760.0,1411.5565823467455,401661.3546247074,1,0.0030773089886663796
247,272.0400085449219,19760.0,1411.5565823467455,403759.86472324934,1,0.00022457556441458307
248,265.4066772460937,19760.0,1411.5565823467455,394396.54226550175,1,-0.028190324932780297
249,266.04998779296875,19760.0,1411.5565823467455,395304.61150243634,1,-0.0026975730270898477
250,262.4599914550781,19760.0,1411.5565823467455,390237.1285410861,1,-0.01781918503831821
251,260.4333190917969,19760.0,1411.5565823467455,387376.3658264362,1,-0.012330831705698904
252,238.1666717529297,19760.0,1411.5565823467455,355945.7332084646,1,-0.08613719728594395
253,232.94667053222656,19760.0,1411.5565823467455,348577.40612552303,1,-0.025700703493546747
254,247.33999633789065,19760.0,1411.5565823467455,368894.39990836947,1,0.053285458052694926
255,227.4066619873047,19760.0,1411.5565823467455,340757.3705976814,1,-0.08127393996134676
256,225.1666717529297,19760.0,1411.5565823467455,337595.4976379569,0,-0.009278956913473607
257,239.47666931152344,19760.0,1411.5565823467455,357794.86888515577,1,0.054833058759749594
258,228.81333923339844,19760.0,1411.5565823467455,342742.97512364236,1,-0.04706850089385907
259,217.73333740234372,19760.0,1411.5565823467455,327102.9256066031,1,-0.0506320060575922
260,207.14666748046875,19760.0,1411.5565823467455,312159.2419932482,1,-0.050684958597182334
261,199.3166656494141,19760.0,1411.5565823467455,301106.7513688359,1,-0.04040657823820343
262,187.6666717529297,19760.0,1411.5565823467455,284662.12579995394,1,-0.0596139383926943
263,224.52667236328125,19760.0,1411.5565823467455,336692.10228680074,1,0.1777780086326294
264,222.6866607666016,19760.0,1411.5565823467455,334094.82180591323,1,-0.012714111686157364
265,233.1999969482422,19760.0,1411.5565823467455,348934.99069553224,0,0.04441903292425198
266,231.2433319091797,19760.0,1411.5565823467455,346173.0472801958,1,-0.012915352397966845
267,235.97999572753903,19760.0,1411.5565823467455,352859.1162713646,0,0.019314239059625638
268,225.6266632080078,19760.0,1411.5565823467455,338244.8016041957,1,-0.04641685447041089
269,233.9366607666016,19760.0,1411.5565823467455,349974.8333573141,1,0.029679119080282427
270,217.72000122070312,19760.0,1411.5565823467455,327084.10083162494,0,-0.06540679598615122
271,218.2899932861328,19760.0,1411.5565823467455,327888.67688346765,0,0.002459844577578188
272,223.3333282470703,19760.0,1411.5565823467455,335007.62954455847,1,0.016711492841885757
273,220.72000122070312,19760.0,1411.5565823467455,331318.7705786652,1,-0.016011268522177404
